"","V1","n","V3","value"
"60","climcost","esp","deg4",0.0022
"61","climcost","fin","deg1",-0.0036
"62","climcost","fin","deg2",8e-04
"63","climcost","fin","deg3",2
"64","climcost","fin","deg4",0.0022
"65","climcost","fra","deg1",-0.0036
"66","climcost","fra","deg2",8e-04
"67","climcost","fra","deg3",2
"68","climcost","fra","deg4",0.0022
"69","climcost","gbr","deg1",-0.0036
"70","climcost","gbr","deg2",8e-04
"71","climcost","gbr","deg3",2
"72","climcost","gbr","deg4",0.0022
"73","climcost","golf57","deg1",0
"74","climcost","golf57","deg2",0
"75","climcost","golf57","deg3",2
"76","climcost","golf57","deg4",0
"77","climcost","grc","deg1",-0.0036
"78","climcost","grc","deg2",8e-04
"79","climcost","grc","deg3",2
"80","climcost","grc","deg4",0.0022
"81","climcost","hun","deg1",0
"82","climcost","hun","deg2",0
"83","climcost","hun","deg3",2
"84","climcost","hun","deg4",0
"85","climcost","idn","deg1",-1e-04
"86","climcost","idn","deg2",0
"87","climcost","idn","deg3",2
"88","climcost","idn","deg4",0
"89","climcost","irl","deg1",-0.0036
"90","climcost","irl","deg2",8e-04
"91","climcost","irl","deg3",2
"92","climcost","irl","deg4",0.0022
"93","climcost","ita","deg1",-0.0036
"94","climcost","ita","deg2",8e-04
"95","climcost","ita","deg3",2
"96","climcost","ita","deg4",0.0022
"97","climcost","jpn","deg1",-3e-04
"98","climcost","jpn","deg2",1e-04
"99","climcost","jpn","deg3",2
"100","climcost","jpn","deg4",2e-04
"101","climcost","meme","deg1",0
"102","climcost","meme","deg2",0
"103","climcost","meme","deg3",2
"104","climcost","meme","deg4",0
"105","climcost","mex","deg1",0
"106","climcost","mex","deg2",0
"107","climcost","mex","deg3",2
"108","climcost","mex","deg4",0
"109","climcost","mys","deg1",-1e-04
"110","climcost","mys","deg2",0
"111","climcost","mys","deg3",2
"112","climcost","mys","deg4",0
"113","climcost","nde","deg1",-9e-04
"114","climcost","nde","deg2",0
"115","climcost","nde","deg3",2
"116","climcost","nde","deg4",-2e-04
"117","climcost","nld","deg1",-0.0036
"118","climcost","nld","deg2",8e-04
"119","climcost","nld","deg3",2
"120","climcost","nld","deg4",0.0022
"121","climcost","noan","deg1",0
"122","climcost","noan","deg2",0
"123","climcost","noan","deg3",2
"124","climcost","noan","deg4",0
"125","climcost","noap","deg1",0
"126","climcost","noap","deg2",0
"127","climcost","noap","deg3",2
"128","climcost","noap","deg4",0
"129","climcost","nor","deg1",-0.0036
"130","climcost","nor","deg2",8e-04
"131","climcost","nor","deg3",2
"132","climcost","nor","deg4",0.0022
"133","climcost","oeu","deg1",-0.00343093000335455
"134","climcost","oeu","deg2",0.000755219012589425
"135","climcost","oeu","deg3",2
"136","climcost","oeu","deg4",0.00209307450797199
"137","climcost","osea","deg1",-0.0041460935813084
"138","climcost","osea","deg2",0.000735653378419709
"139","climcost","osea","deg3",2
"140","climcost","osea","deg4",0.00251348237626734
"141","climcost","pol","deg1",0
"142","climcost","pol","deg2",0
"143","climcost","pol","deg3",2
"144","climcost","pol","deg4",0
"145","climcost","prt","deg1",-0.0036
"146","climcost","prt","deg2",8e-04
"147","climcost","prt","deg3",2
"148","climcost","prt","deg4",0.0022
"149","climcost","rcam","deg1",0
"150","climcost","rcam","deg2",0
"151","climcost","rcam","deg3",2
"152","climcost","rcam","deg4",0
"153","climcost","rcz","deg1",0
"154","climcost","rcz","deg2",0
"155","climcost","rcz","deg3",2
"156","climcost","rcz","deg4",0
"157","climcost","rfa","deg1",-0.0036
"158","climcost","rfa","deg2",8e-04
"159","climcost","rfa","deg3",2
"160","climcost","rfa","deg4",0.0022
"161","climcost","ris","deg1",-0.0041
"162","climcost","ris","deg2",9e-04
"163","climcost","ris","deg3",2
"164","climcost","ris","deg4",0.0025
"165","climcost","rjan57","deg1",-0.000258659449521244
"166","climcost","rjan57","deg2",7.93297247532512e-05
"167","climcost","rjan57","deg3",2
"168","climcost","rjan57","deg4",0.000158659449512952
"169","climcost","rom","deg1",0
"170","climcost","rom","deg2",0
"171","climcost","rom","deg3",2
"172","climcost","rom","deg4",0
"173","climcost","rsaf","deg1",0
"174","climcost","rsaf","deg2",0
"175","climcost","rsaf","deg3",2
"176","climcost","rsaf","deg4",0
"177","climcost","rsam","deg1",0
"178","climcost","rsam","deg2",0
"179","climcost","rsam","deg3",2
"180","climcost","rsam","deg4",0
"181","climcost","rsas","deg1",-9e-04
"182","climcost","rsas","deg2",0
"183","climcost","rsas","deg3",2
"184","climcost","rsas","deg4",-2e-04
"185","climcost","rsl","deg1",0
"186","climcost","rsl","deg2",0
"187","climcost","rsl","deg3",2
"188","climcost","rsl","deg4",0
"189","climcost","rus","deg1",-0.0041
"190","climcost","rus","deg2",9e-04
"191","climcost","rus","deg3",2
"192","climcost","rus","deg4",0.0025
"193","climcost","slo","deg1",0
"194","climcost","slo","deg2",0
"195","climcost","slo","deg3",2
"196","climcost","slo","deg4",0
"197","climcost","sui","deg1",-0.0036
"198","climcost","sui","deg2",8e-04
"199","climcost","sui","deg3",2
"200","climcost","sui","deg4",0.0022
"201","climcost","swe","deg1",-0.0036
"202","climcost","swe","deg2",8e-04
"203","climcost","swe","deg3",2
"204","climcost","swe","deg4",0.0022
"205","climcost","tha","deg1",-1e-04
"206","climcost","tha","deg2",0
"207","climcost","tha","deg3",2
"208","climcost","tha","deg4",0
"209","climcost","tur","deg1",-0.0041
"210","climcost","tur","deg2",9e-04
"211","climcost","tur","deg3",2
"212","climcost","tur","deg4",0.0025
"213","climcost","ukr","deg1",-0.0041
"214","climcost","ukr","deg2",9e-04
"215","climcost","ukr","deg3",2
"216","climcost","ukr","deg4",0.0025
"217","climcost","usa","deg1",-0.001
"218","climcost","usa","deg2",2e-04
"219","climcost","usa","deg3",2
"220","climcost","usa","deg4",7e-04
"221","climcost","vnm","deg1",-1e-04
"222","climcost","vnm","deg2",0
"223","climcost","vnm","deg3",2
"224","climcost","vnm","deg4",0
"225","climcost","zaf","deg1",-0.0077
"226","climcost","zaf","deg2",0.0014
"227","climcost","zaf","deg3",2
"228","climcost","zaf","deg4",0.0049
"229","image","arg","deg1",0
"230","image","arg","deg2",0
"231","image","arg","deg3",0
"232","image","arg","deg4",0
"233","image","aus","deg1",0
"234","image","aus","deg2",0
"235","image","aus","deg3",0
"236","image","aus","deg4",0
"237","image","aut","deg1",0
"238","image","aut","deg2",0
"239","image","aut","deg3",0
"240","image","aut","deg4",0
"241","image","bel","deg1",0
"242","image","bel","deg2",0
"243","image","bel","deg3",0
"244","image","bel","deg4",0
"245","image","bgr","deg1",0
"246","image","bgr","deg2",0
"247","image","bgr","deg3",0
"248","image","bgr","deg4",0
"249","image","blt","deg1",0
"250","image","blt","deg2",0
"251","image","blt","deg3",0
"252","image","blt","deg4",0
"253","image","bra","deg1",0
"254","image","bra","deg2",0
"255","image","bra","deg3",0
"256","image","bra","deg4",0
"257","image","can","deg1",-0.001
"258","image","can","deg2",0
"259","image","can","deg3",0
"260","image","can","deg4",0
"261","image","chl","deg1",0
"262","image","chl","deg2",0
"263","image","chl","deg3",0
"264","image","chl","deg4",0
"265","image","chn","deg1",-0.003
"266","image","chn","deg2",0
"267","image","chn","deg3",0
"268","image","chn","deg4",0
"269","image","cor","deg1",0
"270","image","cor","deg2",0
"271","image","cor","deg3",0
"272","image","cor","deg4",0
"273","image","cro","deg1",0
"274","image","cro","deg2",0
"275","image","cro","deg3",0
"276","image","cro","deg4",0
"277","image","dnk","deg1",0
"278","image","dnk","deg2",0
"279","image","dnk","deg3",0
"280","image","dnk","deg4",0
"281","image","egy","deg1",0
"282","image","egy","deg2",0
"283","image","egy","deg3",0
"284","image","egy","deg4",0
"285","image","esp","deg1",0
"286","image","esp","deg2",0
"287","image","esp","deg3",0
"288","image","esp","deg4",0
"289","image","fin","deg1",0
"290","image","fin","deg2",0
"291","image","fin","deg3",0
"292","image","fin","deg4",0
"293","image","fra","deg1",0
"294","image","fra","deg2",0
"295","image","fra","deg3",0
"296","image","fra","deg4",0
"297","image","gbr","deg1",0
"298","image","gbr","deg2",0
"299","image","gbr","deg3",0
"300","image","gbr","deg4",0
"301","image","golf57","deg1",0
"302","image","golf57","deg2",0
"303","image","golf57","deg3",0
"304","image","golf57","deg4",0
"305","image","grc","deg1",0
"306","image","grc","deg2",0
"307","image","grc","deg3",0
"308","image","grc","deg4",0
"309","image","hun","deg1",0
"310","image","hun","deg2",0
"311","image","hun","deg3",0
"312","image","hun","deg4",0
"313","image","idn","deg1",0
"314","image","idn","deg2",0
"315","image","idn","deg3",0
"316","image","idn","deg4",0
"317","image","irl","deg1",0
"318","image","irl","deg2",0
"319","image","irl","deg3",0
"320","image","irl","deg4",0
"321","image","ita","deg1",0
"322","image","ita","deg2",0
"323","image","ita","deg3",0
"324","image","ita","deg4",0
"325","image","jpn","deg1",-0.001
"326","image","jpn","deg2",0
"327","image","jpn","deg3",0
"328","image","jpn","deg4",0
"329","image","meme","deg1",0
"330","image","meme","deg2",0
"331","image","meme","deg3",0
"332","image","meme","deg4",0
"333","image","mex","deg1",0
"334","image","mex","deg2",0
"335","image","mex","deg3",0
"336","image","mex","deg4",0
"337","image","mys","deg1",0
"338","image","mys","deg2",0
"339","image","mys","deg3",0
"340","image","mys","deg4",0
"341","image","nde","deg1",0
"342","image","nde","deg2",0
"343","image","nde","deg3",0
"344","image","nde","deg4",0
"345","image","nld","deg1",0
"346","image","nld","deg2",0
"347","image","nld","deg3",0
"348","image","nld","deg4",0
"349","image","noan","deg1",0
"350","image","noan","deg2",0
"351","image","noan","deg3",0
"352","image","noan","deg4",0
"353","image","noap","deg1",0
"354","image","noap","deg2",0
"355","image","noap","deg3",0
"356","image","noap","deg4",0
"357","image","nor","deg1",0
"358","image","nor","deg2",0
"359","image","nor","deg3",0
"360","image","nor","deg4",0
"361","image","oeu","deg1",0
"362","image","oeu","deg2",0
"363","image","oeu","deg3",0
"364","image","oeu","deg4",0
"365","image","osea","deg1",-0.00183913344604927
"366","image","osea","deg2",0
"367","image","osea","deg3",0
"368","image","osea","deg4",0
"369","image","pol","deg1",0
"370","image","pol","deg2",0
"371","image","pol","deg3",0
"372","image","pol","deg4",0
"373","image","prt","deg1",0
"374","image","prt","deg2",0
"375","image","prt","deg3",0
"376","image","prt","deg4",0
"377","image","rcam","deg1",0
"378","image","rcam","deg2",0
"379","image","rcam","deg3",0
"380","image","rcam","deg4",0
"381","image","rcz","deg1",0
"382","image","rcz","deg2",0
"383","image","rcz","deg3",0
"384","image","rcz","deg4",0
"385","image","rfa","deg1",0
"386","image","rfa","deg2",0
"387","image","rfa","deg3",0
"388","image","rfa","deg4",0
"389","image","ris","deg1",0
"390","image","ris","deg2",0
"391","image","ris","deg3",0
"392","image","ris","deg4",0
"393","image","rjan57","deg1",-0.000793297247489517
"394","image","rjan57","deg2",0
"395","image","rjan57","deg3",0
"396","image","rjan57","deg4",0
"397","image","rom","deg1",0
"398","image","rom","deg2",0
"399","image","rom","deg3",0
"400","image","rom","deg4",0
"401","image","rsaf","deg1",0
"402","image","rsaf","deg2",0
"403","image","rsaf","deg3",0
"404","image","rsaf","deg4",0
"405","image","rsam","deg1",0
"406","image","rsam","deg2",0
"407","image","rsam","deg3",0
"408","image","rsam","deg4",0
"409","image","rsas","deg1",0
"410","image","rsas","deg2",0
"411","image","rsas","deg3",0
"412","image","rsas","deg4",0
"413","image","rsl","deg1",0
"414","image","rsl","deg2",0
"415","image","rsl","deg3",0
"416","image","rsl","deg4",0
"417","image","rus","deg1",0
"418","image","rus","deg2",0
"419","image","rus","deg3",0
"420","image","rus","deg4",0
"421","image","slo","deg1",0
"422","image","slo","deg2",0
"423","image","slo","deg3",0
"424","image","slo","deg4",0
"425","image","sui","deg1",0
"426","image","sui","deg2",0
"427","image","sui","deg3",0
"428","image","sui","deg4",0
"429","image","swe","deg1",0
"430","image","swe","deg2",0
"431","image","swe","deg3",0
"432","image","swe","deg4",0
"433","image","tha","deg1",0
"434","image","tha","deg2",0
"435","image","tha","deg3",0
"436","image","tha","deg4",0
"437","image","tur","deg1",0
"438","image","tur","deg2",0
"439","image","tur","deg3",0
"440","image","tur","deg4",0
"441","image","ukr","deg1",0
"442","image","ukr","deg2",0
"443","image","ukr","deg3",0
"444","image","ukr","deg4",0
"445","image","usa","deg1",-0.001
"446","image","usa","deg2",0
"447","image","usa","deg3",0
"448","image","usa","deg4",0
"449","image","vnm","deg1",0
"450","image","vnm","deg2",0
"451","image","vnm","deg3",0
"452","image","vnm","deg4",0
"453","image","zaf","deg1",0
"454","image","zaf","deg2",0
"455","image","zaf","deg3",0
"456","image","zaf","deg4",0
"457","witch","arg","deg1",0
"458","witch","arg","deg2",0
"459","witch","arg","deg3",0
"460","witch","arg","deg4",0
"461","witch","aus","deg1",-0.007
"462","witch","aus","deg2",0
"463","witch","aus","deg3",0
"464","witch","aus","deg4",0
"465","witch","aut","deg1",-0.001
"466","witch","aut","deg2",0
"467","witch","aut","deg3",0
"468","witch","aut","deg4",0
"469","witch","bel","deg1",-0.001
"470","witch","bel","deg2",0
"471","witch","bel","deg3",0
"472","witch","bel","deg4",0
"473","witch","bgr","deg1",-0.008
"474","witch","bgr","deg2",0
"475","witch","bgr","deg3",0
"476","witch","bgr","deg4",0
"477","witch","blt","deg1",-0.008
"478","witch","blt","deg2",0
"479","witch","blt","deg3",0
"480","witch","blt","deg4",0
"481","witch","bra","deg1",0
"482","witch","bra","deg2",0
"483","witch","bra","deg3",0
"484","witch","bra","deg4",0
"485","witch","can","deg1",-0.007
"486","witch","can","deg2",0
"487","witch","can","deg3",0
"488","witch","can","deg4",0
"489","witch","chl","deg1",0
"490","witch","chl","deg2",0
"491","witch","chl","deg3",0
"492","witch","chl","deg4",0
"493","witch","chn","deg1",-0.004
"494","witch","chn","deg2",0
"495","witch","chn","deg3",0
"496","witch","chn","deg4",0
"497","witch","cor","deg1",-0.007
"498","witch","cor","deg2",0
"499","witch","cor","deg3",0
"500","witch","cor","deg4",0
"501","witch","cro","deg1",-0.008
"502","witch","cro","deg2",0
"503","witch","cro","deg3",0
"504","witch","cro","deg4",0
"505","witch","dnk","deg1",-0.001
"506","witch","dnk","deg2",0
"507","witch","dnk","deg3",0
"508","witch","dnk","deg4",0
"509","witch","egy","deg1",0
"510","witch","egy","deg2",0
"511","witch","egy","deg3",0
"512","witch","egy","deg4",0
"513","witch","esp","deg1",-0.001
"514","witch","esp","deg2",0
"515","witch","esp","deg3",0
"516","witch","esp","deg4",0
"517","witch","fin","deg1",-0.001
"518","witch","fin","deg2",0
"519","witch","fin","deg3",0
"520","witch","fin","deg4",0
"521","witch","fra","deg1",-0.001
"522","witch","fra","deg2",0
"523","witch","fra","deg3",0
"524","witch","fra","deg4",0
"525","witch","gbr","deg1",-0.001
"526","witch","gbr","deg2",0
"527","witch","gbr","deg3",0
"528","witch","gbr","deg4",0
"529","witch","golf57","deg1",0
"530","witch","golf57","deg2",0
"531","witch","golf57","deg3",0
"532","witch","golf57","deg4",0
"533","witch","grc","deg1",-0.001
"534","witch","grc","deg2",0
"535","witch","grc","deg3",0
"536","witch","grc","deg4",0
"537","witch","hun","deg1",-0.008
"538","witch","hun","deg2",0
"539","witch","hun","deg3",0
"540","witch","hun","deg4",0
"541","witch","idn","deg1",0
"542","witch","idn","deg2",0
"543","witch","idn","deg3",0
"544","witch","idn","deg4",0
"545","witch","irl","deg1",-0.001
"546","witch","irl","deg2",0
"547","witch","irl","deg3",0
"548","witch","irl","deg4",0
"549","witch","ita","deg1",-0.001
"550","witch","ita","deg2",0
"551","witch","ita","deg3",0
"552","witch","ita","deg4",0
"553","witch","jpn","deg1",-0.007
"554","witch","jpn","deg2",0
"555","witch","jpn","deg3",0
"556","witch","jpn","deg4",0
"557","witch","meme","deg1",0
"558","witch","meme","deg2",0
"559","witch","meme","deg3",0
"560","witch","meme","deg4",0
"561","witch","mex","deg1",0
"562","witch","mex","deg2",0
"563","witch","mex","deg3",0
"564","witch","mex","deg4",0
"565","witch","mys","deg1",0
"566","witch","mys","deg2",0
"567","witch","mys","deg3",0
"568","witch","mys","deg4",0
"569","witch","nde","deg1",0
"570","witch","nde","deg2",0
"571","witch","nde","deg3",0
"572","witch","nde","deg4",0
"573","witch","nld","deg1",-0.001
"574","witch","nld","deg2",0
"575","witch","nld","deg3",0
"576","witch","nld","deg4",0
"577","witch","noan","deg1",0
"578","witch","noan","deg2",0
"579","witch","noan","deg3",0
"580","witch","noan","deg4",0
"581","witch","noap","deg1",0
"582","witch","noap","deg2",0
"583","witch","noap","deg3",0
"584","witch","noap","deg4",0
"585","witch","nor","deg1",-0.001
"586","witch","nor","deg2",0
"587","witch","nor","deg3",0
"588","witch","nor","deg4",0
"589","witch","oeu","deg1",-0.00650183399542999
"590","witch","oeu","deg2",0
"591","witch","oeu","deg3",0
"592","witch","oeu","deg4",0
"593","witch","osea","deg1",-0.0024521779280657
"594","witch","osea","deg2",0
"595","witch","osea","deg3",0
"596","witch","osea","deg4",0
"597","witch","pol","deg1",-0.008
"598","witch","pol","deg2",0
"599","witch","pol","deg3",0
"600","witch","pol","deg4",0
"601","witch","prt","deg1",-0.001
"602","witch","prt","deg2",0
"603","witch","prt","deg3",0
"604","witch","prt","deg4",0
"605","witch","rcam","deg1",0
"606","witch","rcam","deg2",0
"607","witch","rcam","deg3",0
"608","witch","rcam","deg4",0
"609","witch","rcz","deg1",-0.008
"610","witch","rcz","deg2",0
"611","witch","rcz","deg3",0
"612","witch","rcz","deg4",0
"613","witch","rfa","deg1",-0.001
"614","witch","rfa","deg2",0
"615","witch","rfa","deg3",0
"616","witch","rfa","deg4",0
"617","witch","ris","deg1",-0.008
"618","witch","ris","deg2",0
"619","witch","ris","deg3",0
"620","witch","ris","deg4",0
"621","witch","rjan57","deg1",-0.00555308073244811
"622","witch","rjan57","deg2",0
"623","witch","rjan57","deg3",0
"624","witch","rjan57","deg4",0
"625","witch","rom","deg1",-0.008
"626","witch","rom","deg2",0
"627","witch","rom","deg3",0
"628","witch","rom","deg4",0
"629","witch","rsaf","deg1",0
"630","witch","rsaf","deg2",0
"631","witch","rsaf","deg3",0
"632","witch","rsaf","deg4",0
"633","witch","rsam","deg1",0
"634","witch","rsam","deg2",0
"635","witch","rsam","deg3",0
"636","witch","rsam","deg4",0
"637","witch","rsas","deg1",0
"638","witch","rsas","deg2",0
"639","witch","rsas","deg3",0
"640","witch","rsas","deg4",0
"641","witch","rsl","deg1",-0.008
"642","witch","rsl","deg2",0
"643","witch","rsl","deg3",0
"644","witch","rsl","deg4",0
"645","witch","rus","deg1",-0.008
"646","witch","rus","deg2",0
"647","witch","rus","deg3",0
"648","witch","rus","deg4",0
"649","witch","slo","deg1",-0.008
"650","witch","slo","deg2",0
"651","witch","slo","deg3",0
"652","witch","slo","deg4",0
"653","witch","sui","deg1",-0.001
"654","witch","sui","deg2",0
"655","witch","sui","deg3",0
"656","witch","sui","deg4",0
"657","witch","swe","deg1",-0.001
"658","witch","swe","deg2",0
"659","witch","swe","deg3",0
"660","witch","swe","deg4",0
"661","witch","tha","deg1",0
"662","witch","tha","deg2",0
"663","witch","tha","deg3",0
"664","witch","tha","deg4",0
"665","witch","tur","deg1",-0.008
"666","witch","tur","deg2",0
"667","witch","tur","deg3",0
"668","witch","tur","deg4",0
"669","witch","ukr","deg1",-0.008
"670","witch","ukr","deg2",0
"671","witch","ukr","deg3",0
"672","witch","ukr","deg4",0
"673","witch","usa","deg1",-0.003
"674","witch","usa","deg2",0
"675","witch","usa","deg3",0
"676","witch","usa","deg4",0
"677","witch","vnm","deg1",0
"678","witch","vnm","deg2",0
"679","witch","vnm","deg3",0
"680","witch","vnm","deg4",0
"681","witch","zaf","deg1",-0.007
"682","witch","zaf","deg2",0
"683","witch","zaf","deg3",0
"684","witch","zaf","deg4",0
