REG	dk_adsad	dk_adcap	rho_ad	rho_adact	rho_adcap	μ2	ϕ2	β1	β2	β3	GAC0
rsl	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.018842285620209034
slo	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.00811363632716835
cro	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.010813978825791166
nor	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.20229017488886727
sui	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	0.9	0.5	1.0	0.25338106727038784
tur	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	8.0	0.1	1.0	0.09633360263316479
blt	0.1	0.03	0.167	0.167	-4.0	0.8	0.3	70.0	0.5	1.0	0.018263837071639206
oeu	0.1	0.03	0.167	0.167	-4.0	0.8	0.11666666666666667	8.433333333333334	0.4	1.0	0.13373914342240045
noap	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	13.0	0.5	1.0	0.057008786818082496
egy	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	13.0	0.5	1.0	0.06812582351668948
zaf	0.1	0.03	0.167	0.167	-4.0	0.8	0.4	30.0	0.5	1.0	0.14959873867143936
rsaf	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	8.092592592592593	0.5981481481481482	1.0	0.1019494349144926
meme	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	13.0	0.5	1.0	0.06081487465800471
golf57	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	13.0	0.5	1.0	0.36625931599820805
aus	0.1	0.03	0.167	0.167	-4.0	0.8	0.4	30.0	0.5	1.0	0.24702617119780265
rjan57	0.1	0.03	0.167	0.167	-4.0	0.7428571428571429	0.14285714285714285	19.71428571428571	0.4428571428571428	1.0	0.047270610581815836
chn	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	10.0	0.85	1.0	0.2967045280143868
nde	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	1.0	0.6	1.0	0.25
mys	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	7.0	0.6	1.0	0.024507452554603393
tha	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	7.0	0.6	1.0	0.03366771673089947
vnm	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	7.0	0.6	1.0	0.017259453884081576
jpn	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	40.0	0.1	1.0	3.2207736076408318
cor	0.1	0.03	0.167	0.167	-4.0	0.8	0.4	30.0	0.5	1.0	0.41911472193183125
idn	0.1	0.03	0.167	0.167	-4.0	0.7	0.1	7.0	0.6	1.0	0.06539990514174923
osea	0.1	0.03	0.167	0.167	-4.0	0.7	0.07750000000000001	7.75	0.6625	1.0	0.09617139948392658
rsas	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	1.0	0.6	1.0	0.25
arg	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.12594630575397686
bra	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.40522575349994655
chl	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.051818957060749175
rsam	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.25862715274496784
mex	0.1	0.03	0.167	0.167	-4.0	0.7	0.01	5.0	0.6	1.0	0.2929273938202761
can	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	40.0	0.1	1.0	1.0568402561690193
usa	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	6.0	0.5	1.0	9.03
rus	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	8.0	0.1	1.0	0.20666988135542563
ukr	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	8.0	0.1	1.0	0.027994107832981605
ris	0.1	0.03	0.167	0.167	-4.0	0.8	0.1	8.0	0.1	1.0	0.06223033144918261
